X_mm,Y_mm,WF_mean_µm
-3.6,1.95,-229.2669
-3.45,1.95,-219.15749999999994
-3.3,1.95,-209.33739999999997
-3.15,1.95,-199.81155000000004
-3.0,1.95,-190.5813
-2.85,1.95,-181.65305
-2.7,1.95,-173.0216
-2.55,1.95,-164.68955
-2.4,1.95,-156.65500000000003
-2.25,1.95,-148.91330000000002
-2.1,1.95,-141.45665
-1.95,1.95,-134.2698
-1.8,1.95,-127.33205000000002
-1.65,1.95,-120.622
-1.5,1.95,-114.112
-1.35,1.95,-107.77529999999999
-1.2,1.95,-101.58370000000001
-1.05,1.95,-95.53384999999999
-0.9,1.95,-89.61725
-0.75,1.95,-83.82140000000001
-0.6,1.95,-78.02309999999999
-0.45,1.95,-72.1288
-0.3,1.95,-66.08185
-0.15,1.95,-59.96355
0.0,1.95,-53.79415
0.15,1.95,-47.575100000000006
0.3,1.95,-41.36105
0.45,1.95,-35.17380000000001
0.6,1.95,-29.06454999999999
0.75,1.95,-23.020050000000005
0.9,1.95,-17.109100000000005
1.05,1.95,-11.3221
1.2,1.95,-5.738349999999999
1.35,1.95,-0.33719999999999983
1.5,1.95,4.889449999999999
1.65,1.95,9.9081
1.8,1.95,14.812749999999998
1.95,1.95,19.6073
2.1,1.95,24.400799999999997
2.25,1.95,29.202550000000002
2.4,1.95,34.0665
2.55,1.95,38.971599999999995
2.7,1.95,43.90715000000001
2.85,1.95,48.92335
3.0,1.95,54.052499999999995
3.15,1.95,59.320949999999996
3.3,1.95,64.72995
3.45,1.95,70.2778
3.6,1.95,75.95275
3.75,1.95,81.74479999999998
3.9,1.95,87.63615
4.05,1.95,93.6113
4.2,1.95,99.6524
4.35,1.95,105.74195
4.5,1.95,111.8613
4.65,1.95,118.00570000000002
4.8,1.95,124.16675000000001
4.95,1.95,130.34255000000002
5.1,1.95,136.53884999999997
5.25,1.95,142.7578
5.4,1.95,
,1.95,
-5.4,1.8,
-5.25,1.8,
-5.1,1.8,-336.82579999999996
-4.95,1.8,-324.32245
-4.8,1.8,-312.04695
-4.65,1.8,-300.00545
-4.5,1.8,-288.20174999999995
-4.35,1.8,-276.6388
-4.2,1.8,-265.32065
-4.05,1.8,-254.25045
-3.9,1.8,-243.44134999999997
-3.75,1.8,-232.89325
-3.6,1.8,-222.61509999999998
-3.45,1.8,-212.61339999999996
-3.3,1.8,-202.89540000000002
-3.15,1.8,-193.46839999999997
-3.0,1.8,-184.33535
-2.85,1.8,-175.50214999999997
-2.7,1.8,-166.96624999999997
-2.55,1.8,-158.73274999999998
-2.4,1.8,-150.8014
-2.25,1.8,-143.17170000000004
-2.1,1.8,-135.8396
-1.95,1.8,-128.79790000000003
-1.8,1.8,-122.02675000000002
-1.65,1.8,-115.51435
-1.5,1.8,-109.22900000000001
-1.35,1.8,-103.13734999999997
-1.2,1.8,-97.20444999999998
-1.05,1.8,-91.41255000000001
-0.9,1.8,-85.7679
-0.75,1.8,-80.12450000000001
-0.6,1.8,-74.30454999999999
-0.45,1.8,-68.33755
-0.3,1.8,-62.26369999999999
-0.15,1.8,-56.088049999999996
0.0,1.8,-49.859199999999994
0.15,1.8,-43.621500000000005
0.3,1.8,-37.41435
0.45,1.8,-31.26465
0.6,1.8,-25.177950000000003
0.75,1.8,-19.192700000000006
0.9,1.8,-13.410450000000003
1.05,1.8,-7.8000500000000015
1.2,1.8,-2.4246
1.35,1.8,2.7371000000000003
1.5,1.8,7.73315
1.65,1.8,12.569149999999999
1.8,1.8,17.315250000000002
1.95,1.8,21.979750000000003
2.1,1.8,26.669349999999998
2.25,1.8,31.368549999999992
2.4,1.8,36.119949999999996
2.55,1.8,41.00664999999999
2.7,1.8,46.03035000000001
2.85,1.8,51.19160000000001
3.0,1.8,56.49615
3.15,1.8,61.9551
3.3,1.8,67.55884999999999
3.45,1.8,73.29765
3.6,1.8,79.1558
3.75,1.8,85.11795000000001
3.9,1.8,91.16670000000002
4.05,1.8,97.28229999999999
4.2,1.8,103.44919999999998
4.35,1.8,109.64495000000002
4.5,1.8,115.86039999999998
4.65,1.8,122.08985
4.8,1.8,128.32864999999998
4.95,1.8,134.57934999999998
5.1,1.8,140.84945000000002
5.25,1.8,147.14335000000003
5.4,1.8,
,1.8,
-5.4,1.65,
-5.25,1.65,
-5.1,1.65,-329.08715000000007
-4.95,1.65,-316.74825
-4.8,1.65,-304.63559999999995
-4.65,1.65,-292.7525
-4.5,1.65,-281.1022
-4.35,1.65,-269.68679999999995
-4.2,1.65,-258.51405
-4.05,1.65,-247.58335000000005
-3.9,1.65,-236.90794999999997
-3.75,1.65,-226.48694999999998
-3.6,1.65,-216.32895
-3.45,1.65,-206.44215
-3.3,1.65,-196.83004999999997
-3.15,1.65,-187.50295
-3.0,1.65,-178.4668
-2.85,1.65,-169.72799999999998
-2.7,1.65,-161.28505
-2.55,1.65,-153.1445
-2.4,1.65,-145.30890000000005
-2.25,1.65,-137.77770000000004
-2.1,1.65,-130.55025000000003
-1.95,1.65,-123.6291
-1.8,1.65,-116.99825000000001
-1.65,1.65,-110.65179999999998
-1.5,1.65,-104.56845000000001
-1.35,1.65,-98.71129999999998
-1.2,1.65,-93.0347
-1.05,1.65,-87.48110000000001
