X_mm,Y_mm,WF_mean_µm
-0.15,1.95,-58.18024999999999
0.0,1.95,-52.20295000000001
0.15,1.95,-46.28105
0.3,1.95,-40.38195
0.45,1.95,-34.524350000000005
0.6,1.95,-28.6572
0.75,1.95,-22.905549999999998
0.9,1.95,-17.258850000000002
1.05,1.95,-11.77645
1.2,1.95,-6.441149999999999
1.35,1.95,-1.3534000000000002
1.5,1.95,3.567300000000001
1.65,1.95,8.3376
1.8,1.95,12.996750000000002
1.95,1.95,17.578
2.1,1.95,22.14025
2.25,1.95,26.751849999999997
2.4,1.95,31.379399999999997
2.55,1.95,36.009299999999996
2.7,1.95,40.68175000000001
2.85,1.95,45.43560000000001
3.0,1.95,50.29370000000001
3.15,1.95,55.28445000000001
3.3,1.95,60.408550000000005
3.45,1.95,65.66035
3.6,1.95,71.0234
3.75,1.95,76.48284999999998
3.9,1.95,82.02050000000001
4.05,1.95,87.62185
4.2,1.95,93.27465000000001
4.35,1.95,98.96860000000001
4.5,1.95,104.6942
4.65,1.95,110.45445000000002
4.8,1.95,116.24985000000001
4.95,1.95,122.08464999999998
5.1,1.95,127.9694
5.25,1.95,133.9086
5.4,1.95,
,1.95,
-5.4,1.8,
-5.25,1.8,
-5.1,1.8,-321.30094999999994
-4.95,1.8,-309.057
-4.8,1.8,-297.0443
-4.65,1.8,-285.27045
-4.5,1.8,-273.74014999999997
-4.35,1.8,-262.45804999999996
-4.2,1.8,-251.42975
-4.05,1.8,-240.66015
-3.9,1.8,-230.16510000000002
-3.75,1.8,-219.94605
-3.6,1.8,-210.01439999999997
-3.45,1.8,-200.3789
-3.3,1.8,-191.0489
-3.15,1.8,-182.03454999999997
-3.0,1.8,-173.34069999999997
-2.85,1.8,-164.97635000000005
-2.7,1.8,-156.94164999999998
-2.55,1.8,-149.24495000000005
-2.4,1.8,-141.88859999999997
-2.25,1.8,-134.87509999999997
-2.1,1.8,-128.2027
-1.95,1.8,-121.8635
-1.8,1.8,-115.83295000000001
-1.65,1.8,-110.08654999999999
-1.5,1.8,-104.5719
-1.35,1.8,-99.22364999999999
-1.2,1.8,-93.98175
-1.05,1.8,-88.772
-0.9,1.8,-83.49665000000002
-0.75,1.8,-78.01935
-0.6,1.8,-72.42655
-0.45,1.8,-66.62705
-0.3,1.8,-60.692899999999995
-0.15,1.8,-54.60095
0.0,1.8,-48.57594999999999
0.15,1.8,-42.614450000000005
0.3,1.8,-36.6905
0.45,1.8,-30.810250000000003
0.6,1.8,-24.955749999999995
0.75,1.8,-19.3145
0.9,1.8,-13.77425
1.05,1.8,-8.468499999999999
1.2,1.8,-3.32305
1.35,1.8,1.53235
1.5,1.8,6.255649999999998
1.65,1.8,10.8295
1.8,1.8,15.33645
1.95,1.8,19.77205
2.1,1.8,24.165300000000002
2.25,1.8,28.631950000000007
2.4,1.8,33.2187
2.55,1.8,37.9159
2.7,1.8,42.69894999999999
2.85,1.8,47.59035
3.0,1.8,52.615300000000005
3.15,1.8,57.789750000000005
3.3,1.8,63.10149999999999
3.45,1.8,68.53340000000001
3.6,1.8,74.06315000000001
3.75,1.8,79.6728
3.9,1.8,85.3457
4.05,1.8,91.06784999999999
4.2,1.8,96.83195000000002
4.35,1.8,102.62514999999999
4.5,1.8,108.44785000000005
4.65,1.8,114.30375
4.8,1.8,120.19494999999999
4.95,1.8,126.12950000000001
5.1,1.8,132.11729999999997
5.25,1.8,138.1636
5.4,1.8,
,1.8,
-5.4,1.65,
-5.25,1.65,
-5.1,1.65,-314.252
-4.95,1.65,-302.16889999999995
-4.8,1.65,-290.3144500000001
-4.65,1.65,-278.69320000000005
-4.5,1.65,-267.3091
-4.35,1.65,-256.16549999999995
-4.2,1.65,-245.27140000000003
-4.05,1.65,-234.62849999999997
-3.9,1.65,-224.25190000000003
-3.75,1.65,-214.1425
-3.6,1.65,-204.31135
-3.45,1.65,-194.7688
-3.3,1.65,-185.5203
-3.15,1.65,-176.57895000000002
-3.0,1.65,-167.95265
-2.85,1.65,-159.6506
-2.7,1.65,-151.67325000000002
-2.55,1.65,-144.03089999999997
-2.4,1.65,-136.72895
-2.25,1.65,-129.7709
-2.1,1.65,-123.16029999999998
-1.95,1.65,-116.90369999999999
-1.8,1.65,-110.9875
-1.65,1.65,-105.40284999999999
-1.5,1.65,-100.11729999999999
-1.35,1.65,-95.07005
-1.2,1.65,-90.06620000000001
-1.05,1.65,-84.94290000000002
-0.9,1.65,-79.68489999999998
-0.75,1.65,-74.22545
-0.6,1.65,-68.63794999999999
-0.45,1.65,-62.935800000000015
-0.3,1.65,-57.07379999999999
-0.15,1.65,-50.949299999999994
0.0,1.65,-44.87725
0.15,1.65,-38.918350000000004
0.3,1.65,-33.002449999999996
0.45,1.65,-27.098000000000003
0.6,1.65,-21.3147
0.75,1.65,-15.729350000000002
0.9,1.65,-10.373900000000003
1.05,1.65,-5.297600000000001
1.2,1.65,-0.38855000000000006
1.35,1.65,4.23865
1.5,1.65,8.805399999999999
1.65,1.65,13.246650000000002
1.8,1.65,17.600499999999997
1.95,1.65,21.898400000000002
2.1,1.65,26.191899999999997
2.25,1.65,30.584650000000003
2.4,1.65,35.10625
2.55,1.65,39.841750000000005
2.7,1.65,44.77344999999999
2.85,1.65,49.843999999999994
3.0,1.65,55.061599999999984
3.15,1.65,60.4354
3.3,1.65,65.94005
3.45,1.65,71.54495
3.6,1.65,77.22765
3.75,1.65,82.97215000000001
3.9,1.65,88.7635
4.05,1.65,94.59240000000001
4.2,1.65,100.45474999999999
4.35,1.65,106.33960000000002
4.5,1.65,112.25384999999999
4.65,1.65,118.20105000000001
4.8,1.65,124.19084999999998
4.95,1.65,130.22809999999998
5.1,1.65,136.32455
5.25,1.65,142.48690000000002
5.4,1.65,
,1.65,
-5.4,1.5,
-5.25,1.5,
-5.1,1.5,-307.90199999999993
-4.95,1.5,-295.98055000000005
